regional,slot,metrica,corpus_2025,pascoa_2026,maio_2026,atual
Reg. MG,geral,01. RASK,0.09485907566414199,0.12286532890665691,0.11628400729829617,0.11465112466446148
Reg. MG,geral,02. Yield,0.2664249373570848,0.32498758263251215,0.3195861160650188,0.3145761307601784
Reg. MG,geral,03. Grupos Realizados,1139.0,828.0,861.0,1046.0
Reg. MG,geral,04. Pax Total,20323.0,15218.0,15299.0,18435.0
Reg. MG,geral,05. ASK,29537056.0,21741518.0,22387143.0,26869125.0
Reg. MG,geral,06. RPK,10279694.0,7892172.0,7891077.0,9463921.0
Reg. MG,geral,07. Load Factor,0.3480270342447128,0.3630000444311202,0.35248253875003166,0.35222289523756356
Reg. MG,geral,08. Ticket Médio,134.76193622988734,168.54106321461418,164.83944375449377,161.49301057770535
Reg. MG,geral,09. GMV,2801857.8299999987,2671278.7600000007,2603266.6999999997,3080575.4
Reg. MG,extra,01. RASK,0.11935224850175263,0.24919749348424186,0.20490031276605675,0.20382002232614999
Reg. MG,extra,02. Yield,0.30711171295335765,0.4217374494765987,0.4318601296513606,0.3984079405113603
Reg. MG,extra,03. Grupos Realizados,162.0,46.0,86.0,98.0
Reg. MG,extra,04. Pax Total,3199.0,1318.0,2099.0,2586.0
Reg. MG,extra,05. ASK,4223101.0,1200551.0,2249285.0,2656974.0
Reg. MG,extra,06. RPK,1619472.0,666028.0,1037089.0,1319109.0
Reg. MG,extra,07. Load Factor,0.3834793437334319,0.5547686020835433,0.4610749638218367,0.496470420862229
Reg. MG,extra,08. Ticket Médio,155.47321663019693,213.11756449165406,213.3765555026203,203.22641144624905
Reg. MG,extra,09. GMV,504036.60000000003,299174.30000000005,460879.1999999999,541544.4999999998
Reg. MG,fixo,01. RASK,0.09480675126945809,0.11500862158010998,0.10621189886544961,0.10488773581897237
Reg. MG,fixo,02. Yield,0.26131103945904105,0.31605759128511157,0.3019731369646369,0.3010138599133295
Reg. MG,fixo,03. Grupos Realizados,894.0,770.0,768.0,943.0
Reg. MG,fixo,04. Pax Total,16136.0,13591.0,13075.0,15800.0
Reg. MG,fixo,05. ASK,23184499.0,20214392.0,19979720.0,24177391.0
Reg. MG,fixo,06. RPK,8202911.0,7080481.0,6801763.0,8134250.0
Reg. MG,fixo,07. Load Factor,0.3538101470297029,0.3502693031776568,0.34043334941630815,0.3364403545444585
Reg. MG,fixo,08. Ticket Médio,132.84030738720892,164.6560054447795,157.0898439770555,154.96974620253167
Reg. MG,fixo,09. GMV,2198047.0300000003,2324829.3599999994,2122084.000000001,2535911.8
Reg. SP,geral,01. RASK,0.08047940109581013,0.09194580507169389,0.09604103539540283,0.09865605449809667
Reg. SP,geral,02. Yield,0.25606117668806816,0.2994240179775204,0.2881962761019091,0.29182794437183135
Reg. SP,geral,03. Grupos Realizados,1381.0,1158.0,1164.0,1294.0
Reg. SP,geral,04. Pax Total,19675.0,15530.0,17400.0,18171.0
Reg. SP,geral,05. ASK,28947535.0,23079429.0,23628577.0,25158163.0
Reg. SP,geral,06. RPK,8871680.0,6877923.0,7645322.0,8172694.0
Reg. SP,geral,07. Load Factor,0.30647445456063876,0.2980109689888775,0.3235625234647012,0.32485257369546416
Reg. SP,geral,08. Ticket Médio,115.46088030495554,132.60884352865426,126.62950172413794,131.25422321281167
Reg. SP,geral,09. GMV,2329680.2800000003,2122056.679999999,2269313.0000000005,2482005.099999999
Reg. SP,extra,01. RASK,0.08287105550860575,0.14864100036182454,0.1296367718083577,0.12175340640646957
Reg. SP,extra,02. Yield,0.2875072522275729,0.37255345950731367,0.3193476904616868,0.36827158926966486
Reg. SP,extra,03. Grupos Realizados,127.0,27.0,54.0,50.0
Reg. SP,extra,04. Pax Total,1650.0,466.0,912.0,691.0
Reg. SP,extra,05. ASK,3062372.0,602502.0,1377316.0,1203908.0
Reg. SP,extra,06. RPK,866975.0,227041.0,543377.0,386083.0
Reg. SP,extra,07. Load Factor,0.28310571021417386,0.37683028438079874,0.39451875967461353,0.3206914481837483
Reg. SP,extra,08. Ticket Médio,151.06763636363635,181.51268240343347,190.2699451754386,205.7646888567294
Reg. SP,extra,09. GMV,253782.00000000003,89556.5,178550.8,146579.89999999997
Reg. SP,fixo,01. RASK,0.08192354473300482,0.0905134027465888,0.09420899366063087,0.09751792570483242
Reg. SP,fixo,02. Yield,0.2531639237156405,0.2965524322505644,0.285544485446656,0.2873065030913826
Reg. SP,fixo,03. Grupos Realizados,1195.0,1114.0,1095.0,1208.0
Reg. SP,fixo,04. Pax Total,17550.0,15033.0,16311.0,17328.0
Reg. SP,fixo,05. ASK,24854769.0,22388135.0,22017175.0,23811616.0
Reg. SP,fixo,06. RPK,7835053.0,6639797.0,7054633.0,7763031.0
Reg. SP,fixo,07. Load Factor,0.31523338639759635,0.29657660184736245,0.3204149942033889,0.3260186540888279
Reg. SP,fixo,08. Ticket Médio,113.02294928774933,130.9817035854454,123.50018699037454,128.7147558864266
Reg. SP,fixo,09. GMV,2036190.7800000017,2026426.2800000003,2074215.900000001,2322059.4
